,n_servers,rounds,seeds
0,100,5,False
1,100,5,True
2,100,6,False
3,100,4,True
4,100,5,False
5,100,4,True
6,100,6,False
7,100,4,True
8,100,5,False
9,100,4,True
10,100,6,False
11,100,4,True
12,100,5,False
13,100,5,True
14,100,5,False
15,100,4,True
16,100,5,False
17,100,4,True
18,100,5,False
19,100,5,True
20,100,6,False
21,100,4,True
22,100,6,False
23,100,4,True
24,100,6,False
25,100,5,True
26,100,6,False
27,100,4,True
28,100,5,False
29,100,4,True
30,100,5,False
31,100,3,True
32,100,5,False
33,100,4,True
34,100,7,False
35,100,4,True
36,100,6,False
37,100,4,True
38,100,5,False
39,100,5,True
40,100,6,False
41,100,5,True
42,100,5,False
43,100,4,True
44,100,6,False
45,100,4,True
46,100,6,False
47,100,5,True
48,100,6,False
49,100,4,True
50,100,5,False
51,100,4,True
52,100,6,False
53,100,4,True
54,100,5,False
55,100,5,True
56,100,6,False
57,100,5,True
58,100,5,False
59,100,5,True
60,300,7,False
61,300,5,True
62,300,6,False
63,300,5,True
64,300,7,False
65,300,4,True
66,300,7,False
67,300,5,True
68,300,7,False
69,300,4,True
70,300,6,False
71,300,4,True
72,300,6,False
73,300,4,True
74,300,7,False
75,300,5,True
76,300,7,False
77,300,5,True
78,300,7,False
79,300,5,True
80,300,6,False
81,300,5,True
82,300,6,False
83,300,4,True
84,300,7,False
85,300,4,True
86,300,7,False
87,300,5,True
88,300,7,False
89,300,4,True
90,300,6,False
91,300,4,True
92,300,6,False
93,300,5,True
94,300,6,False
95,300,5,True
96,300,6,False
97,300,5,True
98,300,7,False
99,300,4,True
100,300,7,False
101,300,4,True
102,300,6,False
103,300,4,True
104,300,6,False
105,300,4,True
106,300,7,False
107,300,5,True
108,300,6,False
109,300,5,True
110,300,6,False
111,300,4,True
112,300,6,False
113,300,5,True
114,300,6,False
115,300,5,True
116,300,6,False
117,300,5,True
118,300,7,False
119,300,5,True
120,500,7,False
121,500,5,True
122,500,6,False
123,500,4,True
124,500,7,False
125,500,5,True
126,500,6,False
127,500,5,True
128,500,6,False
129,500,5,True
130,500,7,False
131,500,5,True
132,500,7,False
133,500,4,True
134,500,6,False
135,500,4,True
136,500,7,False
137,500,5,True
138,500,7,False
139,500,5,True
140,500,7,False
141,500,5,True
142,500,7,False
143,500,5,True
144,500,7,False
145,500,5,True
146,500,7,False
147,500,4,True
148,500,7,False
149,500,4,True
150,500,7,False
151,500,5,True
152,500,7,False
153,500,5,True
154,500,7,False
155,500,5,True
156,500,7,False
157,500,5,True
158,500,7,False
159,500,5,True
160,500,7,False
161,500,5,True
162,500,7,False
163,500,5,True
164,500,7,False
165,500,5,True
166,500,7,False
167,500,4,True
168,500,7,False
169,500,5,True
170,500,7,False
171,500,5,True
172,500,7,False
173,500,5,True
174,500,7,False
175,500,5,True
176,500,7,False
177,500,5,True
178,500,7,False
179,500,5,True
180,700,7,False
181,700,5,True
182,700,7,False
183,700,5,True
184,700,8,False
185,700,5,True
186,700,8,False
187,700,4,True
188,700,7,False
189,700,5,True
190,700,7,False
191,700,4,True
192,700,7,False
193,700,5,True
194,700,8,False
195,700,5,True
196,700,7,False
197,700,5,True
198,700,8,False
199,700,5,True
200,700,7,False
201,700,4,True
202,700,7,False
203,700,5,True
204,700,8,False
205,700,4,True
206,700,7,False
207,700,5,True
208,700,7,False
209,700,5,True
210,700,8,False
211,700,5,True
212,700,7,False
213,700,5,True
214,700,7,False
215,700,5,True
216,700,7,False
217,700,5,True
218,700,8,False
219,700,4,True
220,700,7,False
221,700,5,True
222,700,7,False
223,700,5,True
224,700,7,False
225,700,5,True
226,700,7,False
227,700,5,True
228,700,7,False
229,700,5,True
230,700,7,False
231,700,4,True
232,700,8,False
233,700,5,True
234,700,7,False
235,700,5,True
236,700,7,False
237,700,5,True
238,700,7,False
239,700,5,True
240,900,8,False
241,900,5,True
242,900,8,False
243,900,5,True
244,900,8,False
245,900,5,True
246,900,7,False
247,900,5,True
248,900,7,False
249,900,5,True
250,900,8,False
251,900,5,True
252,900,7,False
253,900,5,True
254,900,7,False
255,900,5,True
256,900,7,False
257,900,5,True
258,900,8,False
259,900,5,True
260,900,7,False
261,900,5,True
262,900,7,False
263,900,5,True
264,900,7,False
265,900,5,True
266,900,7,False
267,900,5,True
268,900,7,False
269,900,5,True
270,900,8,False
271,900,5,True
272,900,7,False
273,900,5,True
274,900,7,False
275,900,5,True
276,900,7,False
277,900,5,True
278,900,7,False
279,900,4,True
280,900,8,False
281,900,5,True
282,900,7,False
283,900,5,True
284,900,7,False
285,900,4,True
286,900,8,False
287,900,5,True
288,900,8,False
289,900,5,True
290,900,7,False
291,900,5,True
292,900,8,False
293,900,5,True
294,900,8,False
295,900,5,True
296,900,8,False
297,900,5,True
298,900,7,False
299,900,5,True
300,1100,7,False
301,1100,5,True
302,1100,7,False
303,1100,5,True
304,1100,8,False
305,1100,5,True
306,1100,8,False
307,1100,4,True
308,1100,8,False
309,1100,5,True
310,1100,7,False
311,1100,4,True
312,1100,7,False
313,1100,5,True
314,1100,8,False
315,1100,5,True
316,1100,7,False
317,1100,4,True
318,1100,8,False
319,1100,5,True
320,1100,7,False
321,1100,5,True
322,1100,8,False
323,1100,5,True
324,1100,8,False
325,1100,5,True
326,1100,7,False
327,1100,5,True
328,1100,7,False
329,1100,5,True
330,1100,7,False
